product_offer_reference,concrete_sku,product.value_10,merchant_sku,is_active,approval_status,product.attribute_key_73,product.value_73,product.attribute_key_74,product.value_74,product.attribute_key_75,product.value_75
offer24,14824_A289443,MER000001,MER000001-24,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24618487661&a=333885&m=14824,displayed_price,5.00
offer25,14824_A289362,MER000001,MER000001-25,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24647195293&a=333885&m=14824,displayed_price,5.00
offer26,14824_A284237,MER000001,MER000001-26,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24647195293&a=333885&m=14824,displayed_price,5.00
offer27,14824_A284236,MER000001,MER000001-27,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24654701251&a=333885&m=14824,displayed_price,5.00
offer28,14824_A289356,MER000001,MER000001-28,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24654701251&a=333885&m=14824,displayed_price,5.00
offer29,14824_A289393,MER000001,MER000001-29,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24654701255&a=333885&m=14824,displayed_price,5.00
offer30,14824_A289400,MER000001,MER000001-30,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24654701255&a=333885&m=14824,displayed_price,5.00
offer31,14824_A289442,MER000001,MER000001-31,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24936035443&a=333885&m=14824,displayed_price,5.00
offer32,14824_A290659,MER000001,MER000001-32,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24936035443&a=333885&m=14824,displayed_price,5.00
offer33,14824_A290630,MER000001,MER000001-33,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24936035715&a=333885&m=14824,displayed_price,5.00
offer34,14824_A290646,MER000001,MER000001-34,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24936035715&a=333885&m=14824,displayed_price,5.00
offer35,14824_A293097,MER000001,MER000001-35,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24936046817&a=333885&m=14824,displayed_price,5.00
offer36,14824_A293084,MER000001,MER000001-36,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24936046817&a=333885&m=14824,displayed_price,5.00
offer37,14824_A293123,MER000001,MER000001-37,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25124552885&a=333885&m=14824,displayed_price,5.00
offer38,14824_A293169,MER000001,MER000001-38,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25124552885&a=333885&m=14824,displayed_price,5.00
offer39,14824_A293167,MER000001,MER000001-39,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25323034123&a=333885&m=14824,displayed_price,5.00
offer40,14824_A293173,MER000001,MER000001-40,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25323034123&a=333885&m=14824,displayed_price,5.00
offer41,14824_A293172,MER000001,MER000001-41,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25522754345&a=333885&m=14824,displayed_price,5.00
offer42,14824_A293171,MER000001,MER000001-42,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25522754345&a=333885&m=14824,displayed_price,5.00
offer43,14824_A293161,MER000001,MER000001-43,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25727132031&a=333885&m=14824,displayed_price,5.00
offer44,14824_A293175,MER000001,MER000001-44,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25727132031&a=333885&m=14824,displayed_price,5.00
offer45,14824_A289384,MER000001,MER000001-45,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25808912933&a=333885&m=14824,displayed_price,5.00
offer46,14824_A292463,MER000001,MER000001-46,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25808912933&a=333885&m=14824,displayed_price,5.00
offer47,14824_A292477,MER000001,MER000001-47,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25808913103&a=333885&m=14824,displayed_price,5.00
offer48,14824_A292440,MER000001,MER000001-48,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25808913103&a=333885&m=14824,displayed_price,5.00
offer49,14824_A292454,MER000001,MER000001-49,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822421563&a=333885&m=14824,displayed_price,5.00
offer50,14824_A289536,MER000001,MER000001-50,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822421563&a=333885&m=14824,displayed_price,5.00
offer51,14824_A292452,MER000001,MER000001-51,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822421737&a=333885&m=14824,displayed_price,5.00
offer52,14824_A292464,MER000001,MER000001-52,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822421737&a=333885&m=14824,displayed_price,5.00
offer53,14824_A292436,MER000001,MER000001-53,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822422751&a=333885&m=14824,displayed_price,5.00
offer54,14824_A292445,MER000001,MER000001-54,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822422751&a=333885&m=14824,displayed_price,5.00
offer55,14824_A289529,MER000001,MER000001-55,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424221&a=333885&m=14824,displayed_price,5.00
offer56,14824_A289385,MER000001,MER000001-56,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424221&a=333885&m=14824,displayed_price,5.00
offer57,14824_A290666,MER000001,MER000001-57,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424331&a=333885&m=14824,displayed_price,5.00
offer58,14824_A284037,MER000001,MER000001-58,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424331&a=333885&m=14824,displayed_price,5.00
offer59,14824_A292487,MER000001,MER000001-59,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424593&a=333885&m=14824,displayed_price,5.00
offer60,14824_A290655,MER000001,MER000001-60,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424593&a=333885&m=14824,displayed_price,5.00
offer61,14824_A293085,MER000001,MER000001-61,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424691&a=333885&m=14824,displayed_price,5.00
offer62,14824_A265440,MER000001,MER000001-62,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25822424691&a=333885&m=14824,displayed_price,5.00
offer63,14824_A284002,MER000001,MER000001-63,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25967468367&a=333885&m=14824,displayed_price,5.00
offer64,14824_A284001,MER000001,MER000001-64,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25967468367&a=333885&m=14824,displayed_price,5.00
offer65,14824_A289414,MER000001,MER000001-65,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25993672549&a=333885&m=14824,displayed_price,5.00
offer66,14824_A289450,MER000001,MER000001-66,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25993672549&a=333885&m=14824,displayed_price,5.00
offer67,14824_A289373,MER000001,MER000001-67,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25993673307&a=333885&m=14824,displayed_price,5.00
offer68,14824_A289464,MER000001,MER000001-68,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=25993673307&a=333885&m=14824,displayed_price,5.00
offer69,14824_A033484,MER000001,MER000001-69,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26060288871&a=333885&m=14824,displayed_price,5.00
offer70,14824_A029359,MER000001,MER000001-70,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26060288871&a=333885&m=14824,displayed_price,5.00
offer71,14824_A241856,MER000001,MER000001-71,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26060291583&a=333885&m=14824,displayed_price,5.00
offer72,14824_A272644,MER000001,MER000001-72,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26060291583&a=333885&m=14824,displayed_price,5.00
offer73,14824_A007044,MER000001,MER000001-73,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068249689&a=333885&m=14824,displayed_price,5.00
offer74,14824_A292446,MER000001,MER000001-74,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068249689&a=333885&m=14824,displayed_price,5.00
offer75,14824_A292443,MER000001,MER000001-75,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068249809&a=333885&m=14824,displayed_price,5.00
offer76,14824_A253807,MER000001,MER000001-76,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068249809&a=333885&m=14824,displayed_price,5.00
offer77,14824_A210101,MER000001,MER000001-77,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253619&a=333885&m=14824,displayed_price,5.00
offer78,14824_A289389,MER000001,MER000001-78,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253619&a=333885&m=14824,displayed_price,5.00
offer79,14824_A289403,MER000001,MER000001-79,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253621&a=333885&m=14824,displayed_price,5.00
offer80,14824_A044240,MER000001,MER000001-80,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253621&a=333885&m=14824,displayed_price,5.00
offer81,14824_A292472,MER000001,MER000001-81,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253625&a=333885&m=14824,displayed_price,5.00
offer82,14824_A021150,MER000001,MER000001-82,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253625&a=333885&m=14824,displayed_price,5.00
offer83,14824_A299509,MER000001,MER000001-83,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253629&a=333885&m=14824,displayed_price,5.00
offer84,14824_A299444,MER000001,MER000001-84,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253629&a=333885&m=14824,displayed_price,5.00
offer85,14824_A293116,MER000001,MER000001-85,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253639&a=333885&m=14824,displayed_price,5.00
offer86,14824_A289603,MER000001,MER000001-86,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253639&a=333885&m=14824,displayed_price,5.00
offer87,14824_A298560,MER000001,MER000001-87,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253641&a=333885&m=14824,displayed_price,5.00
offer88,14824_A298573,MER000001,MER000001-88,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26068253641&a=333885&m=14824,displayed_price,5.00
offer89,14824_A298579,MER000001,MER000001-89,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647199&a=333885&m=14824,displayed_price,5.00
offer90,14824_A298561,MER000001,MER000001-90,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647199&a=333885&m=14824,displayed_price,5.00
offer91,14824_A298575,MER000001,MER000001-91,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647219&a=333885&m=14824,displayed_price,5.00
offer92,14824_A289413,MER000001,MER000001-92,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647219&a=333885&m=14824,displayed_price,5.00
offer93,14824_A055473,MER000001,MER000001-93,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647221&a=333885&m=14824,displayed_price,5.00
offer94,14824_A134430,MER000001,MER000001-94,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647221&a=333885&m=14824,displayed_price,5.00
offer95,14824_A221785,MER000001,MER000001-95,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647817&a=333885&m=14824,displayed_price,5.00
offer96,14824_A246901,MER000001,MER000001-96,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647817&a=333885&m=14824,displayed_price,5.00
offer97,14824_A246914,MER000001,MER000001-97,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647819&a=333885&m=14824,displayed_price,5.00
offer98,14824_A273294,MER000001,MER000001-98,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647819&a=333885&m=14824,displayed_price,5.00
offer99,14824_A279508,MER000001,MER000001-99,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647901&a=333885&m=14824,displayed_price,5.00
offer100,14824_A292240,MER000001,MER000001-100,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647901&a=333885&m=14824,displayed_price,5.00
offer101,14824_A187629,MER000001,MER000001-101,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647995&a=333885&m=14824,displayed_price,5.00
offer102,14824_A192719,MER000001,MER000001-102,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647995&a=333885&m=14824,displayed_price,5.00
offer103,14824_A278022,MER000001,MER000001-103,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647999&a=333885&m=14824,displayed_price,5.00
offer104,14824_A284480,MER000001,MER000001-104,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076647999&a=333885&m=14824,displayed_price,5.00
offer105,14824_A269725,MER000001,MER000001-105,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076648005&a=333885&m=14824,displayed_price,5.00
offer106,14824_A295352,MER000001,MER000001-106,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076648005&a=333885&m=14824,displayed_price,5.00
offer107,14824_A295382,MER000001,MER000001-107,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076648119&a=333885&m=14824,displayed_price,5.00
offer108,14824_A295392,MER000001,MER000001-108,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076648119&a=333885&m=14824,displayed_price,5.00
offer109,14824_A299574,MER000001,MER000001-109,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076648161&a=333885&m=14824,displayed_price,5.00
offer110,14824_A042121,MER000001,MER000001-110,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26076648161&a=333885&m=14824,displayed_price,5.00
offer111,14824_A050602,MER000001,MER000001-111,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26105709827&a=333885&m=14824,displayed_price,5.00
offer112,14824_A050603,MER000001,MER000001-112,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26105709827&a=333885&m=14824,displayed_price,5.00
offer113,14824_A050664,MER000001,MER000001-113,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26232049009&a=333885&m=14824,displayed_price,5.00
offer114,14824_A134763,MER000001,MER000001-114,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26232049009&a=333885&m=14824,displayed_price,5.00
offer115,14824_A260790,MER000001,MER000001-115,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26335975941&a=333885&m=14824,displayed_price,5.00
offer116,14824_A260793,MER000001,MER000001-116,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26335975941&a=333885&m=14824,displayed_price,5.00
offer117,14824_A262154,MER000001,MER000001-117,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26345267245&a=333885&m=14824,displayed_price,5.00
offer118,14824_A262399,MER000001,MER000001-118,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26345267245&a=333885&m=14824,displayed_price,5.00
offer119,14824_A262400,MER000001,MER000001-119,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26348632659&a=333885&m=14824,displayed_price,5.00
